Gene	MB176	MB95	MB40	MB37	MB38	MB28	MB113	MB18	MB19	MB90	MB26	MB35	MB110	MB64	MB7	MB91	MB206	MB9	MB200	MB12	MB1M21	MB4M23	MB4M26	MB4M77	MB1M1
ENSG00000261554.1	0.0266143191709456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213984028530147
ENSG00000258799.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270831.1	0	0	0	0	0	0	0	0	0	0	0.00312860040747651	0	0.00227107504650745	0	0.00722648683998835	0	0	0	0	0.0113617276304061	0	0.00477987163360766	0	0	0.0193515991018568
ENSG00000266545.1	0	0	0	0.217811203105335	0	0.126826469587613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147507609008902	0.154180005742588	0.132389771730611	0.214190453387557	0
ENSG00000258710.3	0.111886492755408	0	0	0.268744853954832	0.013145961687853	2.5011781557794	0.0336005868762908	0	0	0.00251926839909006	0	1.11500411319242	0.00740872409720303	0.00828805301955219	0.0117871594053831	0.0190899621681952	0.287915121893731	0	0	1.41832887192168	2.31231094043308	2.13623357734613	0.0535567897479532	0.441906500279606	0.167291805629859
ENSG00000258855.1	0.0526417735310655	0	0	0.0393837236044928	0	0.343983588958686	0.0115526061569403	0	0	0	0	0.0192421308096277	0	0	0	0	0.0451539837968698	0	0	0.452819754825209	0.38673990542797	0.13939096439793	0.0359072589258328	0	0.23984141499862
ENSG00000258494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270824.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270451.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259698.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499447113460499	0	0	0	0.678535001440949	0.0308360011485177	0.0529559086922445	0	0
ENSG00000259025.1	0.004683744221373	0	0	0	0	0	0.0246691319231191	0	0	0	0	0	0	0	0	0	0.0120525789593175	0	0.0102254112687191	0.005895972058549	0.0142385214111006	0.00744129515649927	0	0	0
ENSG00000258771.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243059.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258684.2	0.0555025731969502	0	0.0265352556940904	0	0.0331882729372002	0	0.0228383038019722	0	0.00698125322745789	0	0.0144292032742378	0.015215878504213	0.015711404092447	0.0117174426996563	0	0	0.0238039310106137	0.039043092917214	0.0151464461600295	0.0611340851720342	0.0105454437129293	0.0330673769944872	0	0.0153126566502002	0.0446250912157029
